Address,Date time,Minimum Temperature,Maximum Temperature,Temperature,Dew Point,Relative Humidity,Heat Index,Wind Speed,Wind Gust,Wind Direction,Wind Chill,Precipitation,Precipitation Cover,Snow Depth,Visibility,Cloud Cover,Sea Level Pressure,Weather Type,Latitude,Longitude,Resolved Address,Name,Info,Conditions
Bremen,09/30/2020 00:00:00,13.2,13.2,13.2,12.4,95.09,,4.7,,200.0,,0.0,,0.0,8.0,,1016.9,,53.0754,8.80454,"Bremen, Deutschland","Bremen, Deutschland",,Clear
Bremen,09/30/2020 01:00:00,13.2,13.2,13.2,12.7,96.86,,6.5,,230.0,,0.0,,0.0,5.0,,1016.7,,53.0754,8.80454,"Bremen, Deutschland","Bremen, Deutschland",,Clear
Bremen,09/30/2020 02:00:00,13.2,13.2,13.2,12.6,96.28,,3.6,,230.0,,0.0,,0.0,7.0,,1016.6,,53.0754,8.80454,"Bremen, Deutschland","Bremen, Deutschland",,Clear
Bremen,09/30/2020 03:00:00,13.2,13.2,13.2,12.7,96.88,,5.0,,140.0,,0.0,,0.0,6.0,,1016.6,,53.0754,8.80454,"Bremen, Deutschland","Bremen, Deutschland",,Clear
Bremen,09/30/2020 04:00:00,13.3,13.3,13.3,12.7,95.7,,7.9,,130.0,,0.0,,0.0,6.0,,1016.2,,53.0754,8.80454,"Bremen, Deutschland","Bremen, Deutschland",,Clear
Bremen,09/30/2020 05:00:00,13.1,13.1,13.1,12.9,98.13,,7.9,,160.0,,0.0,,0.0,1.0,,1015.9,,53.0754,8.80454,"Bremen, Deutschland","Bremen, Deutschland",,Clear
Bremen,09/30/2020 06:00:00,13.3,13.3,13.3,13.0,98.11,,6.5,,210.0,,0.0,,0.0,2.0,,1015.9,,53.0754,8.80454,"Bremen, Deutschland","Bremen, Deutschland",,Clear
Bremen,09/30/2020 07:00:00,13.1,13.1,13.1,12.6,96.96,,6.5,,210.0,,0.0,,0.0,4.0,,1015.6,,53.0754,8.80454,"Bremen, Deutschland","Bremen, Deutschland",,Clear
Bremen,09/30/2020 08:00:00,12.7,12.7,12.7,12.2,96.92,,7.2,,140.0,,0.0,,0.0,3.0,,1015.6,,53.0754,8.80454,"Bremen, Deutschland","Bremen, Deutschland",,Clear
Bremen,09/30/2020 09:00:00,13.5,13.5,13.5,12.7,94.49,,9.4,,130.0,,0.0,,0.0,3.0,,1016.1,,53.0754,8.80454,"Bremen, Deutschland","Bremen, Deutschland",,Clear
Bremen,09/30/2020 10:00:00,13.7,13.7,13.7,12.6,93.24,,10.8,,160.0,,0.0,,0.0,5.0,,1016.0,,53.0754,8.80454,"Bremen, Deutschland","Bremen, Deutschland",,Clear
Bremen,09/30/2020 11:00:00,14.4,14.4,14.4,12.2,86.81,,13.7,,140.0,,0.0,,0.0,7.0,,1015.8,,53.0754,8.80454,"Bremen, Deutschland","Bremen, Deutschland",,Clear
Bremen,09/30/2020 12:00:00,15.7,15.7,15.7,12.7,82.39,,14.0,,160.0,,0.0,,0.0,8.0,,1015.4,,53.0754,8.80454,"Bremen, Deutschland","Bremen, Deutschland",,Clear
Bremen,09/30/2020 13:00:00,17.1,17.1,17.1,13.2,77.39,,11.9,,190.0,,0.0,,0.0,11.0,,1015.3,,53.0754,8.80454,"Bremen, Deutschland","Bremen, Deutschland",,Clear
Bremen,09/30/2020 14:00:00,17.7,17.7,17.7,13.7,77.4,,7.2,,200.0,,0.0,,0.0,15.0,,1015.0,,53.0754,8.80454,"Bremen, Deutschland","Bremen, Deutschland",,Clear
Bremen,09/30/2020 15:00:00,18.4,18.4,18.4,13.2,71.83,,9.7,,170.0,,0.0,,0.0,20.0,,1014.2,,53.0754,8.80454,"Bremen, Deutschland","Bremen, Deutschland",,Clear
Bremen,09/30/2020 16:00:00,18.4,18.4,18.4,13.4,72.61,,12.9,,130.0,,0.0,,0.0,22.0,13.0,1013.7,,53.0754,8.80454,"Bremen, Deutschland","Bremen, Deutschland",,Clear
Bremen,09/30/2020 17:00:00,19.1,19.1,19.1,12.9,67.13,,14.7,,140.0,,0.0,,0.0,22.0,,1013.3,,53.0754,8.80454,"Bremen, Deutschland","Bremen, Deutschland",,Clear
Bremen,09/30/2020 18:00:00,18.6,18.6,18.6,12.9,69.24,,7.6,,140.0,,0.0,,0.0,25.0,,1013.0,,53.0754,8.80454,"Bremen, Deutschland","Bremen, Deutschland",,Clear
Bremen,09/30/2020 19:00:00,17.1,17.1,17.1,12.9,76.2,,8.6,,110.0,,0.0,,0.0,25.0,0.0,1012.8,,53.0754,8.80454,"Bremen, Deutschland","Bremen, Deutschland",,Clear
Bremen,09/30/2020 20:00:00,15.6,15.6,15.6,12.7,82.73,,9.3,,110.0,,0.0,,0.0,29.9,,1012.8,,53.0754,8.80454,"Bremen, Deutschland","Bremen, Deutschland",,Clear
Bremen,09/30/2020 21:00:00,15.8,15.8,15.8,13.1,84.3,,13.6,,110.0,,0.0,,0.0,29.9,0.0,1012.6,,53.0754,8.80454,"Bremen, Deutschland","Bremen, Deutschland",,Clear
Bremen,09/30/2020 22:00:00,15.3,15.3,15.3,12.7,84.29,,16.5,,110.0,,0.0,,0.0,29.9,,1012.2,,53.0754,8.80454,"Bremen, Deutschland","Bremen, Deutschland",,Clear
Bremen,09/30/2020 23:00:00,15.1,15.1,15.1,12.3,83.83,,15.8,,120.0,,0.0,,0.0,29.9,,1011.9,,53.0754,8.80454,"Bremen, Deutschland","Bremen, Deutschland",,Clear
Bremen,10/01/2020 00:00:00,14.1,14.1,14.1,12.0,87.59,,12.9,,120.0,,0.0,,0.0,24.9,13.0,1011.3,,53.0754,8.80454,"Bremen, Deutschland","Bremen, Deutschland",,Clear
Bremen,10/01/2020 01:00:00,13.3,13.3,13.3,11.6,89.8,,12.9,,120.0,,0.0,,0.0,20.0,0.0,1010.8,,53.0754,8.80454,"Bremen, Deutschland","Bremen, Deutschland",,Clear
Bremen,10/01/2020 02:00:00,12.8,12.8,12.8,11.3,90.92,,11.1,,120.0,,0.0,,0.0,19.9,0.0,1010.4,,53.0754,8.80454,"Bremen, Deutschland","Bremen, Deutschland",,Clear
Bremen,10/01/2020 03:00:00,12.3,12.3,12.3,11.1,92.64,,12.6,,120.0,,0.0,,0.0,12.0,0.0,1009.7,,53.0754,8.80454,"Bremen, Deutschland","Bremen, Deutschland",,Clear
Bremen,10/01/2020 04:00:00,12.1,12.1,12.1,11.1,93.81,,17.2,,110.0,,0.0,,0.0,10.0,0.1,1008.9,,53.0754,8.80454,"Bremen, Deutschland","Bremen, Deutschland",,Clear
Bremen,10/01/2020 05:00:00,11.6,11.6,11.6,10.8,94.92,,13.7,,120.0,,0.0,,0.0,10.0,0.0,1008.2,,53.0754,8.80454,"Bremen, Deutschland","Bremen, Deutschland",,Clear
Bremen,10/01/2020 06:00:00,11.3,11.3,11.3,10.3,93.79,,14.4,,120.0,,0.0,,0.0,9.0,12.9,1007.7,,53.0754,8.80454,"Bremen, Deutschland","Bremen, Deutschland",,Clear
Bremen,10/01/2020 07:00:00,10.8,10.8,10.8,10.1,95.56,,14.0,,120.0,,0.0,,0.0,8.0,13.0,1007.1,,53.0754,8.80454,"Bremen, Deutschland","Bremen, Deutschland",,Clear
Bremen,10/01/2020 08:00:00,10.6,10.6,10.6,9.8,94.95,,15.5,,110.0,,0.0,,0.0,8.0,0.0,1006.5,,53.0754,8.80454,"Bremen, Deutschland","Bremen, Deutschland",,Clear
Bremen,10/01/2020 09:00:00,12.1,12.1,12.1,10.2,87.93,,16.5,,120.0,,0.0,,0.0,12.0,,1006.1,,53.0754,8.80454,"Bremen, Deutschland","Bremen, Deutschland",,Clear
Bremen,10/01/2020 10:00:00,13.5,13.5,13.5,10.6,82.41,,21.9,,120.0,,0.0,,0.0,15.0,,1005.4,,53.0754,8.80454,"Bremen, Deutschland","Bremen, Deutschland",,Clear
Bremen,10/01/2020 11:00:00,14.4,14.4,14.4,10.7,78.66,,20.9,,120.0,,0.0,,0.0,18.0,,1004.9,,53.0754,8.80454,"Bremen, Deutschland","Bremen, Deutschland",,Clear
Bremen,10/01/2020 12:00:00,15.4,15.4,15.4,11.2,76.08,,18.0,,110.0,,0.0,,0.0,20.0,,1004.1,,53.0754,8.80454,"Bremen, Deutschland","Bremen, Deutschland",,Clear
Bremen,10/01/2020 13:00:00,17.0,17.0,17.0,11.7,70.6,,23.4,,120.0,,0.0,,0.0,22.1,,1003.2,,53.0754,8.80454,"Bremen, Deutschland","Bremen, Deutschland",,Clear
Bremen,10/01/2020 14:00:00,17.8,17.8,17.8,11.1,64.59,,26.2,,120.0,,0.0,,0.0,28.1,,1002.4,,53.0754,8.80454,"Bremen, Deutschland","Bremen, Deutschland",,Clear
Bremen,10/01/2020 15:00:00,18.5,18.5,18.5,11.4,63.01,,22.7,,130.0,,0.0,,0.0,30.0,,1001.7,,53.0754,8.80454,"Bremen, Deutschland","Bremen, Deutschland",,Clear
Bremen,10/01/2020 16:00:00,18.1,18.1,18.1,10.9,62.66,,24.1,,130.0,,0.0,,0.0,30.0,,1001.4,,53.0754,8.80454,"Bremen, Deutschland","Bremen, Deutschland",,Clear
Bremen,10/01/2020 17:00:00,17.9,17.9,17.9,11.2,65.05,,19.4,,130.0,,0.0,,0.0,35.0,,1001.0,,53.0754,8.80454,"Bremen, Deutschland","Bremen, Deutschland",,Clear
Bremen,10/01/2020 18:00:00,17.6,17.6,17.6,11.2,65.93,,15.4,,130.0,,0.0,,0.0,35.0,,1000.7,,53.0754,8.80454,"Bremen, Deutschland","Bremen, Deutschland",,Clear
Bremen,10/01/2020 19:00:00,17.1,17.1,17.1,11.6,69.83,,15.5,,130.0,,0.0,,0.0,30.0,,1000.4,,53.0754,8.80454,"Bremen, Deutschland","Bremen, Deutschland",,Clear
Bremen,10/01/2020 20:00:00,16.8,16.8,16.8,12.0,73.56,,14.4,,120.0,,0.0,,0.0,25.0,,1000.4,,53.0754,8.80454,"Bremen, Deutschland","Bremen, Deutschland",,Clear
Bremen,10/01/2020 21:00:00,16.3,16.3,16.3,12.2,76.66,,13.3,,150.0,,0.01,,0.0,22.1,,1000.6,,53.0754,8.80454,"Bremen, Deutschland","Bremen, Deutschland",,Rain
Bremen,10/01/2020 22:00:00,15.1,15.1,15.1,12.5,84.59,,8.6,,140.0,,0.19,,0.0,22.0,,1000.7,,53.0754,8.80454,"Bremen, Deutschland","Bremen, Deutschland",,Rain
Bremen,10/01/2020 23:00:00,14.5,14.5,14.5,12.2,85.59,,6.5,,140.0,,0.0,,0.0,22.0,,1000.6,,53.0754,8.80454,"Bremen, Deutschland","Bremen, Deutschland",,Clear
Bremen,10/02/2020 00:00:00,14.8,14.8,14.8,11.6,81.11,,14.0,,210.0,,0.0,,0.0,22.0,,1000.5,,53.0754,8.80454,"Bremen, Deutschland","Bremen, Deutschland",,Clear
Bremen,10/02/2020 01:00:00,12.8,12.8,12.8,11.2,89.53,,8.6,,249.0,,0.0,,0.0,22.0,,1000.6,,53.0754,8.80454,"Bremen, Deutschland","Bremen, Deutschland",,Clear
Bremen,10/02/2020 02:00:00,11.7,11.7,11.7,10.7,93.61,,2.5,,180.0,,0.0,,0.0,22.0,,1000.6,,53.0754,8.80454,"Bremen, Deutschland","Bremen, Deutschland",,Clear
Bremen,10/02/2020 03:00:00,11.4,11.4,11.4,10.2,92.4,,4.0,,170.0,,0.0,,0.0,22.0,,1000.5,,53.0754,8.80454,"Bremen, Deutschland","Bremen, Deutschland",,Clear
Bremen,10/02/2020 04:00:00,10.6,10.6,10.6,10.5,99.17,,5.0,,91.0,,0.0,,0.0,21.9,,1000.3,,53.0754,8.80454,"Bremen, Deutschland","Bremen, Deutschland",,Clear
Bremen,10/02/2020 05:00:00,8.7,8.7,8.7,8.4,98.05,,1.8,,110.0,,0.0,,0.0,0.0,0.0,999.9,,53.0754,8.80454,"Bremen, Deutschland","Bremen, Deutschland",,Clear
Bremen,10/02/2020 06:00:00,8.1,8.1,8.1,7.9,98.67,,6.1,,80.0,7.2,0.0,,0.0,2.0,0.0,999.8,,53.0754,8.80454,"Bremen, Deutschland","Bremen, Deutschland",,Clear
Bremen,10/02/2020 07:00:00,8.3,8.3,8.3,8.1,98.69,,5.4,,91.0,7.7,0.0,,0.0,1.0,,999.8,,53.0754,8.80454,"Bremen, Deutschland","Bremen, Deutschland",,Clear
Bremen,10/02/2020 08:00:00,8.5,8.5,8.5,8.3,98.68,,6.1,,90.0,7.7,0.0,,0.0,0.0,,999.5,,53.0754,8.80454,"Bremen, Deutschland","Bremen, Deutschland",,Clear
Bremen,10/02/2020 09:00:00,9.4,9.4,9.4,8.9,96.79,,2.9,,140.0,,0.0,,0.0,4.0,,999.7,,53.0754,8.80454,"Bremen, Deutschland","Bremen, Deutschland",,Clear
Bremen,10/02/2020 10:00:00,13.1,13.1,13.1,11.4,89.17,,10.1,,80.0,,0.0,,0.0,7.0,,999.4,,53.0754,8.80454,"Bremen, Deutschland","Bremen, Deutschland",,Clear
Bremen,10/02/2020 11:00:00,15.1,15.1,15.1,11.2,77.55,,17.6,,100.0,,0.0,,0.0,15.0,,999.3,,53.0754,8.80454,"Bremen, Deutschland","Bremen, Deutschland",,Clear
Bremen,10/02/2020 12:00:00,15.1,15.1,15.1,11.2,77.27,,19.0,,110.0,,0.0,,0.0,17.0,,999.4,,53.0754,8.80454,"Bremen, Deutschland","Bremen, Deutschland",,Clear
Bremen,10/02/2020 13:00:00,16.1,16.1,16.1,10.9,71.16,,21.6,,100.0,,0.0,,0.0,20.0,,998.9,,53.0754,8.80454,"Bremen, Deutschland","Bremen, Deutschland",,Clear
Bremen,10/02/2020 14:00:00,16.8,16.8,16.8,10.9,68.1,,20.5,,120.0,,0.0,,0.0,26.9,,998.5,,53.0754,8.80454,"Bremen, Deutschland","Bremen, Deutschland",,Clear
Bremen,10/02/2020 15:00:00,16.6,16.6,16.6,11.2,70.18,,29.1,,80.0,,0.0,,0.0,26.9,,997.8,,53.0754,8.80454,"Bremen, Deutschland","Bremen, Deutschland",,Clear
Bremen,10/02/2020 16:00:00,16.7,16.7,16.7,11.4,71.03,,27.3,,80.0,,0.0,,0.0,25.0,,997.4,,53.0754,8.80454,"Bremen, Deutschland","Bremen, Deutschland",,Clear
Bremen,10/02/2020 17:00:00,16.1,16.1,16.1,11.1,72.38,,25.9,,90.0,,0.0,,0.0,25.0,,997.5,,53.0754,8.80454,"Bremen, Deutschland","Bremen, Deutschland",,Clear
Bremen,10/02/2020 18:00:00,15.8,15.8,15.8,11.7,76.2,,23.4,,80.0,,0.0,,0.0,18.0,,997.5,,53.0754,8.80454,"Bremen, Deutschland","Bremen, Deutschland",,Clear
Bremen,10/02/2020 19:00:00,15.1,15.1,15.1,11.4,78.22,,23.0,,80.0,,0.0,,0.0,18.0,,997.6,,53.0754,8.80454,"Bremen, Deutschland","Bremen, Deutschland",,Clear
Bremen,10/02/2020 20:00:00,14.8,14.8,14.8,11.4,79.67,,21.2,,80.0,,0.0,,0.0,25.0,,997.5,,53.0754,8.80454,"Bremen, Deutschland","Bremen, Deutschland",,Clear
Bremen,10/02/2020 21:00:00,14.4,14.4,14.4,11.2,81.14,,22.3,,80.0,,0.0,,0.0,25.0,,997.3,,53.0754,8.80454,"Bremen, Deutschland","Bremen, Deutschland",,Clear
Bremen,10/02/2020 22:00:00,14.6,14.6,14.6,11.1,79.66,,23.0,,80.0,,0.0,,0.0,25.0,,997.5,,53.0754,8.80454,"Bremen, Deutschland","Bremen, Deutschland",,Clear
Bremen,10/02/2020 23:00:00,14.1,14.1,14.1,11.1,82.23,,19.8,,80.0,,0.0,,0.0,25.0,,996.8,,53.0754,8.80454,"Bremen, Deutschland","Bremen, Deutschland",,Clear
Bremen,10/03/2020 00:00:00,13.7,13.7,13.7,10.9,83.28,,18.0,,80.0,,0.0,,0.0,25.0,,996.4,,53.0754,8.80454,"Bremen, Deutschland","Bremen, Deutschland",,Clear
Bremen,10/03/2020 01:00:00,13.6,13.6,13.6,10.9,83.29,,19.1,,90.0,,0.0,,0.0,20.0,,996.0,,53.0754,8.80454,"Bremen, Deutschland","Bremen, Deutschland",,Clear
Bremen,10/03/2020 02:00:00,13.6,13.6,13.6,10.9,83.33,,20.2,,80.0,,0.0,,0.0,20.0,,995.5,,53.0754,8.80454,"Bremen, Deutschland","Bremen, Deutschland",,Clear
Bremen,10/03/2020 03:00:00,13.2,13.2,13.2,10.7,84.88,,22.0,,70.0,,0.0,,0.0,20.0,,994.7,,53.0754,8.80454,"Bremen, Deutschland","Bremen, Deutschland",,Clear
Bremen,10/03/2020 04:00:00,13.6,13.6,13.6,11.2,84.96,,22.7,,70.0,,0.0,,0.0,20.0,,994.2,,53.0754,8.80454,"Bremen, Deutschland","Bremen, Deutschland",,Clear
Bremen,10/03/2020 05:00:00,14.0,14.0,14.0,11.4,83.98,,24.5,,80.0,,0.0,,0.0,20.0,,993.8,,53.0754,8.80454,"Bremen, Deutschland","Bremen, Deutschland",,Clear
Bremen,10/03/2020 06:00:00,14.0,14.0,14.0,11.4,83.96,,24.5,,80.0,,0.0,,0.0,20.0,,993.6,,53.0754,8.80454,"Bremen, Deutschland","Bremen, Deutschland",,Clear
Bremen,10/03/2020 07:00:00,14.1,14.1,14.1,11.4,83.45,,23.4,,80.0,,0.0,,0.0,18.0,,993.2,,53.0754,8.80454,"Bremen, Deutschland","Bremen, Deutschland",,Clear
Bremen,10/03/2020 08:00:00,14.1,14.1,14.1,11.4,83.46,,24.8,,80.0,,0.0,,0.0,18.0,,992.9,,53.0754,8.80454,"Bremen, Deutschland","Bremen, Deutschland",,Clear
Bremen,10/03/2020 09:00:00,14.1,14.1,14.1,11.7,85.05,,27.0,,80.0,,0.0,,0.0,17.0,,992.6,,53.0754,8.80454,"Bremen, Deutschland","Bremen, Deutschland",,Clear
Bremen,10/03/2020 10:00:00,14.4,14.4,14.4,11.9,85.01,,24.1,,80.0,,0.0,,0.0,18.0,,992.4,,53.0754,8.80454,"Bremen, Deutschland","Bremen, Deutschland",,Clear
Bremen,10/03/2020 11:00:00,14.8,14.8,14.8,12.1,83.51,,20.5,,80.0,,0.0,,0.0,20.0,,992.2,,53.0754,8.80454,"Bremen, Deutschland","Bremen, Deutschland",,Clear
Bremen,10/03/2020 12:00:00,15.3,15.3,15.3,12.2,81.4,,19.5,,90.0,,0.0,,0.0,25.0,,991.7,,53.0754,8.80454,"Bremen, Deutschland","Bremen, Deutschland",,Clear
Bremen,10/03/2020 13:00:00,16.1,16.1,16.1,12.7,79.85,,19.4,,90.0,,0.0,,0.0,25.0,,990.9,,53.0754,8.80454,"Bremen, Deutschland","Bremen, Deutschland",,Clear
