Address,Date time,Minimum Temperature,Maximum Temperature,Temperature,Dew Point,Relative Humidity,Heat Index,Wind Speed,Wind Gust,Wind Direction,Wind Chill,Precipitation,Precipitation Cover,Snow Depth,Visibility,Cloud Cover,Sea Level Pressure,Weather Type,Latitude,Longitude,Resolved Address,Name,Info,Conditions
Berlin,04/08/2022 01:00:00,6.7,6.7,6.7,3.6,80.97,,24.5,,230.0,2.7,0.3,,,45.0,,985.4,,52.516,13.3769,"Berlin, Deutschland","Berlin, Deutschland",,Rain
Berlin,04/08/2022 02:00:00,7.5,7.5,7.5,2.9,72.57,,32.0,,240.0,3.2,0.01,,,33.6,,985.2,,52.516,13.3769,"Berlin, Deutschland","Berlin, Deutschland",,Rain
Berlin,04/08/2022 03:00:00,7.4,7.4,7.4,2.9,72.8,,37.3,,250.0,2.7,0.1,,,45.0,,985.7,,52.516,13.3769,"Berlin, Deutschland","Berlin, Deutschland",,Rain
Berlin,04/08/2022 04:00:00,7.0,7.0,7.0,2.7,73.82,,30.2,,266.0,2.7,0.05,,,45.0,,987.9,,52.516,13.3769,"Berlin, Deutschland","Berlin, Deutschland",,Rain
Berlin,04/08/2022 05:00:00,7.1,7.1,7.1,2.2,71.11,,28.1,,259.0,2.9,0.0,,,45.0,,988.8,,52.516,13.3769,"Berlin, Deutschland","Berlin, Deutschland",,Clear
Berlin,04/08/2022 06:00:00,6.9,6.9,6.9,2.8,75.31,,28.0,,250.0,2.7,0.0,,,38.8,,990.0,,52.516,13.3769,"Berlin, Deutschland","Berlin, Deutschland",,Clear
Berlin,04/08/2022 07:00:00,5.6,5.6,5.6,2.3,79.25,,31.7,,289.0,0.7,0.35,,,40.9,,991.9,,52.516,13.3769,"Berlin, Deutschland","Berlin, Deutschland",,Rain
Berlin,04/08/2022 08:00:00,5.6,5.6,5.6,2.8,81.95,,19.3,,267.0,1.9,0.01,,,48.2,,993.4,,52.516,13.3769,"Berlin, Deutschland","Berlin, Deutschland",,Rain
Berlin,04/08/2022 09:00:00,5.9,5.9,5.9,2.6,78.97,,25.3,,263.0,1.7,0.06,,,9.7,,994.2,,52.516,13.3769,"Berlin, Deutschland","Berlin, Deutschland",,Rain
Berlin,04/08/2022 10:00:00,4.4,4.4,4.4,2.1,84.99,,16.9,,251.0,0.7,0.7,,,48.2,,995.5,,52.516,13.3769,"Berlin, Deutschland","Berlin, Deutschland",,Rain
Berlin,04/08/2022 11:00:00,6.8,6.8,6.8,1.6,69.27,,27.1,,264.0,2.7,0.0,,,49.1,,996.0,,52.516,13.3769,"Berlin, Deutschland","Berlin, Deutschland",,Clear
Berlin,04/08/2022 12:00:00,7.5,7.5,7.5,0.2,59.96,,26.9,,258.0,3.6,0.0,,,45.0,,996.4,,52.516,13.3769,"Berlin, Deutschland","Berlin, Deutschland",,Clear
Berlin,04/08/2022 13:00:00,8.3,8.3,8.3,-0.6,53.47,,29.5,,262.0,4.4,0.0,,,45.0,,996.2,,52.516,13.3769,"Berlin, Deutschland","Berlin, Deutschland",,Clear
Berlin,04/08/2022 14:00:00,8.9,8.9,8.9,0.6,55.81,,22.9,,254.0,5.8,0.07,,,45.0,,995.9,,52.516,13.3769,"Berlin, Deutschland","Berlin, Deutschland",,Rain
Berlin,04/08/2022 15:00:00,8.7,8.7,8.7,0.1,54.65,,20.2,,257.0,5.8,0.05,,,46.4,,995.6,,52.516,13.3769,"Berlin, Deutschland","Berlin, Deutschland",,Rain
Berlin,04/08/2022 16:00:00,8.7,8.7,8.7,0.1,54.72,,21.3,,259.0,5.6,0.01,,,32.7,,995.2,,52.516,13.3769,"Berlin, Deutschland","Berlin, Deutschland",,Rain
Berlin,04/08/2022 17:00:00,9.0,9.0,9.0,-0.6,51.16,,20.2,,256.0,6.1,0.0,,,36.8,,995.0,,52.516,13.3769,"Berlin, Deutschland","Berlin, Deutschland",,Clear
Berlin,04/08/2022 18:00:00,8.8,8.8,8.8,-0.8,50.82,,16.8,,244.0,6.3,0.0,,,36.8,,995.0,,52.516,13.3769,"Berlin, Deutschland","Berlin, Deutschland",,Clear
Berlin,04/08/2022 19:00:00,8.5,8.5,8.5,-0.9,51.62,,16.2,,252.0,6.0,0.0,,,28.6,,995.3,,52.516,13.3769,"Berlin, Deutschland","Berlin, Deutschland",,Clear
Berlin,04/08/2022 20:00:00,7.8,7.8,7.8,-0.9,53.93,,11.7,,255.0,5.7,0.0,,,28.6,,995.0,,52.516,13.3769,"Berlin, Deutschland","Berlin, Deutschland",,Clear
Berlin,04/08/2022 21:00:00,6.8,6.8,6.8,-0.8,58.39,,10.1,,250.0,4.8,0.0,,,35.4,,995.5,,52.516,13.3769,"Berlin, Deutschland","Berlin, Deutschland",,Clear
Berlin,04/08/2022 22:00:00,4.8,4.8,4.8,0.4,73.12,,11.1,,314.0,2.2,0.0,,,40.9,,995.7,,52.516,13.3769,"Berlin, Deutschland","Berlin, Deutschland",,Clear
Berlin,04/08/2022 23:00:00,3.9,3.9,3.9,0.8,80.36,,4.6,,251.0,,0.0,,,40.9,,995.3,,52.516,13.3769,"Berlin, Deutschland","Berlin, Deutschland",,Clear
Berlin,04/09/2022 00:00:00,4.3,4.3,4.3,0.9,78.59,,8.0,,255.0,2.3,0.0,,,40.9,,995.0,,52.516,13.3769,"Berlin, Deutschland","Berlin, Deutschland",,Clear
Berlin,04/09/2022 01:00:00,4.5,4.5,4.5,1.0,78.32,,12.9,,267.0,1.4,0.0,,,45.2,,995.2,,52.516,13.3769,"Berlin, Deutschland","Berlin, Deutschland",,Clear
Berlin,04/09/2022 02:00:00,4.4,4.4,4.4,0.8,76.95,,14.1,,272.0,1.2,0.0,,,45.4,,995.6,,52.516,13.3769,"Berlin, Deutschland","Berlin, Deutschland",,Clear
Berlin,04/09/2022 03:00:00,4.0,4.0,4.0,0.7,79.3,,15.6,,282.0,0.4,0.0,,,41.4,,995.9,,52.516,13.3769,"Berlin, Deutschland","Berlin, Deutschland",,Clear
Berlin,04/09/2022 04:00:00,3.9,3.9,3.9,0.6,78.9,,14.6,,273.0,0.5,0.0,,,41.5,,996.6,,52.516,13.3769,"Berlin, Deutschland","Berlin, Deutschland",,Clear
Berlin,04/09/2022 05:00:00,3.5,3.5,3.5,0.5,81.23,,16.5,,282.0,-0.4,0.0,,,41.1,,997.4,,52.516,13.3769,"Berlin, Deutschland","Berlin, Deutschland",,Clear
Berlin,04/09/2022 06:00:00,2.8,2.8,2.8,0.5,84.72,,18.3,,280.0,-1.4,0.0,,,41.0,,998.5,,52.516,13.3769,"Berlin, Deutschland","Berlin, Deutschland",,Clear
Berlin,04/09/2022 07:00:00,2.6,2.6,2.6,0.6,86.58,,20.1,,278.0,-2.0,0.0,,,43.4,,999.8,,52.516,13.3769,"Berlin, Deutschland","Berlin, Deutschland",,Clear
Berlin,04/09/2022 08:00:00,3.1,3.1,3.1,0.8,85.04,,16.8,,269.0,-0.9,0.0,,,40.1,,1001.2,,52.516,13.3769,"Berlin, Deutschland","Berlin, Deutschland",,Clear
Berlin,04/09/2022 09:00:00,4.3,4.3,4.3,1.0,78.81,,20.9,,269.0,0.1,0.0,,,39.8,,1002.3,,52.516,13.3769,"Berlin, Deutschland","Berlin, Deutschland",,Clear
Berlin,04/09/2022 10:00:00,5.5,5.5,5.5,1.1,73.42,,20.9,,263.0,1.6,0.0,,,44.1,,1003.2,,52.516,13.3769,"Berlin, Deutschland","Berlin, Deutschland",,Clear
Berlin,04/09/2022 11:00:00,6.5,6.5,6.5,-0.3,62.15,,27.8,,276.0,2.2,0.0,,,44.6,,1003.8,,52.516,13.3769,"Berlin, Deutschland","Berlin, Deutschland",,Clear
Berlin,04/09/2022 12:00:00,8.0,8.0,8.0,-1.2,52.21,,28.4,,274.0,4.1,0.0,,,45.1,,1003.9,,52.516,13.3769,"Berlin, Deutschland","Berlin, Deutschland",,Clear
Berlin,04/09/2022 13:00:00,8.6,8.6,8.6,-1.4,49.49,,27.9,,267.0,4.9,0.0,,,45.0,,1004.1,,52.516,13.3769,"Berlin, Deutschland","Berlin, Deutschland",,Clear
Berlin,04/09/2022 14:00:00,8.8,8.8,8.8,-1.7,47.41,,33.1,,264.0,4.9,0.0,,,45.0,,1004.2,,52.516,13.3769,"Berlin, Deutschland","Berlin, Deutschland",,Clear
Berlin,04/09/2022 15:00:00,9.2,9.2,9.2,-0.2,52.03,,36.1,,267.0,5.1,0.01,,,45.0,,1004.6,,52.516,13.3769,"Berlin, Deutschland","Berlin, Deutschland",,Rain
Berlin,04/09/2022 16:00:00,8.1,8.1,8.1,0.5,58.67,,28.8,,257.0,4.2,0.01,,,45.0,,1005.2,,52.516,13.3769,"Berlin, Deutschland","Berlin, Deutschland",,Rain
Berlin,04/09/2022 17:00:00,8.0,8.0,8.0,1.1,61.55,,31.1,,267.0,3.9,0.13,,,32.7,,1005.4,,52.516,13.3769,"Berlin, Deutschland","Berlin, Deutschland",,Rain
Berlin,04/09/2022 18:00:00,5.2,5.2,5.2,2.5,83.02,,15.4,,258.0,1.9,0.51,,,40.0,,1006.8,,52.516,13.3769,"Berlin, Deutschland","Berlin, Deutschland",,Rain
Berlin,04/09/2022 19:00:00,6.4,6.4,6.4,1.9,72.87,,13.5,,276.0,3.7,0.01,,,45.0,,1007.3,,52.516,13.3769,"Berlin, Deutschland","Berlin, Deutschland",,Rain
Berlin,04/09/2022 20:00:00,5.9,5.9,5.9,1.9,75.37,,16.8,,250.0,2.6,0.01,,,41.4,,1007.8,,52.516,13.3769,"Berlin, Deutschland","Berlin, Deutschland",,Rain
Berlin,04/09/2022 21:00:00,5.3,5.3,5.3,1.6,76.89,,14.4,,260.0,2.2,0.03,,,45.9,,1008.6,,52.516,13.3769,"Berlin, Deutschland","Berlin, Deutschland",,Rain
Berlin,04/09/2022 22:00:00,5.5,5.5,5.5,1.2,74.04,,14.5,,249.0,2.4,0.0,,,41.8,,1009.4,,52.516,13.3769,"Berlin, Deutschland","Berlin, Deutschland",,Clear
Berlin,04/09/2022 23:00:00,4.9,4.9,4.9,1.2,76.77,,18.5,,255.0,1.2,0.07,,,45.9,11.7,1009.8,,52.516,13.3769,"Berlin, Deutschland","Berlin, Deutschland",,Rain
Berlin,04/10/2022 00:00:00,4.2,4.2,4.2,0.5,77.0,,16.9,,259.0,0.5,0.0,,,45.9,13.0,1010.6,,52.516,13.3769,"Berlin, Deutschland","Berlin, Deutschland",,Clear
Berlin,04/10/2022 01:00:00,3.9,3.9,3.9,0.4,78.45,,17.7,,258.0,-0.1,0.0,,,45.9,13.0,1011.1,,52.516,13.3769,"Berlin, Deutschland","Berlin, Deutschland",,Clear
Berlin,04/10/2022 02:00:00,3.3,3.3,3.3,0.5,81.9,,18.5,,250.0,-0.9,0.0,,,45.5,0.0,1011.7,,52.516,13.3769,"Berlin, Deutschland","Berlin, Deutschland",,Clear
Berlin,04/10/2022 03:00:00,2.8,2.8,2.8,0.4,84.09,,16.0,,242.0,-1.1,0.0,,,44.8,13.0,1011.9,,52.516,13.3769,"Berlin, Deutschland","Berlin, Deutschland",,Clear
Berlin,04/10/2022 04:00:00,2.6,2.6,2.6,0.4,85.28,,17.0,,251.0,-1.5,0.0,,,45.3,0.0,1012.0,,52.516,13.3769,"Berlin, Deutschland","Berlin, Deutschland",,Clear
