Address,Date time,Minimum Temperature,Maximum Temperature,Temperature,Dew Point,Relative Humidity,Heat Index,Wind Speed,Wind Gust,Wind Direction,Wind Chill,Precipitation,Precipitation Cover,Snow Depth,Visibility,Cloud Cover,Sea Level Pressure,Weather Type,Latitude,Longitude,Resolved Address,Name,Info,Conditions
Bremen,04/03/2021 01:00:00,3.6,3.6,3.6,-0.6,73.67,,13.3,,300.0,0.4,0.0,,0.0,22.0,,1023.1,,53.0754,8.80454,"Bremen, Deutschland","Bremen, Deutschland",,Clear
Bremen,04/03/2021 02:00:00,2.4,2.4,2.4,-0.3,82.21,,12.2,,290.0,-1.0,0.0,,0.0,22.0,13.0,1023.3,,53.0754,8.80454,"Bremen, Deutschland","Bremen, Deutschland",,Clear
Bremen,04/03/2021 03:00:00,2.1,2.1,2.1,0.1,87.17,,10.8,,300.0,-1.0,0.0,,0.0,22.0,12.9,1023.4,,53.0754,8.80454,"Bremen, Deutschland","Bremen, Deutschland",,Clear
Bremen,04/03/2021 04:00:00,2.3,2.3,2.3,1.1,91.69,,13.6,,300.0,-1.3,0.0,,0.0,22.0,12.9,1023.5,,53.0754,8.80454,"Bremen, Deutschland","Bremen, Deutschland",,Clear
Bremen,04/03/2021 05:00:00,2.5,2.5,2.5,1.5,93.18,,12.9,,310.0,-0.9,0.0,,0.0,22.0,0.0,1023.7,,53.0754,8.80454,"Bremen, Deutschland","Bremen, Deutschland",,Clear
Bremen,04/03/2021 06:00:00,2.6,2.6,2.6,2.0,95.89,,15.4,,310.0,-1.2,0.0,,0.0,10.0,,1023.9,,53.0754,8.80454,"Bremen, Deutschland","Bremen, Deutschland",,Clear
Bremen,04/03/2021 07:00:00,2.3,2.3,2.3,1.8,96.51,,11.1,,310.0,-0.8,0.0,,0.0,4.0,13.0,1024.3,,53.0754,8.80454,"Bremen, Deutschland","Bremen, Deutschland",,Clear
Bremen,04/03/2021 08:00:00,2.2,2.2,2.2,2.1,99.11,,12.2,,320.0,-1.2,0.0,,0.0,0.1,0.0,1025.2,,53.0754,8.80454,"Bremen, Deutschland","Bremen, Deutschland",,Clear
Bremen,04/03/2021 09:00:00,3.2,3.2,3.2,3.0,98.78,,7.2,,300.0,1.3,0.0,,0.0,1.2,0.0,1026.0,,53.0754,8.80454,"Bremen, Deutschland","Bremen, Deutschland",,Clear
Bremen,04/03/2021 10:00:00,5.9,5.9,5.9,3.1,82.03,,7.9,,290.0,4.2,0.0,,0.0,20.1,13.0,1026.4,,53.0754,8.80454,"Bremen, Deutschland","Bremen, Deutschland",,Clear
Bremen,04/03/2021 11:00:00,8.4,8.4,8.4,3.8,72.91,,6.5,,290.0,7.5,0.0,,0.0,30.0,0.0,1026.4,,53.0754,8.80454,"Bremen, Deutschland","Bremen, Deutschland",,Clear
Bremen,04/03/2021 12:00:00,9.9,9.9,9.9,2.8,61.47,,15.1,,310.0,7.7,0.0,,0.0,35.0,,1026.4,,53.0754,8.80454,"Bremen, Deutschland","Bremen, Deutschland",,Clear
Bremen,04/03/2021 13:00:00,11.1,11.1,11.1,0.2,46.78,,23.4,,310.0,,0.0,,0.0,40.0,,1026.4,,53.0754,8.80454,"Bremen, Deutschland","Bremen, Deutschland",,Clear
Bremen,04/03/2021 14:00:00,11.4,11.4,11.4,-0.6,43.54,,21.6,,320.0,,0.0,,0.0,40.0,,1026.4,,53.0754,8.80454,"Bremen, Deutschland","Bremen, Deutschland",,Clear
Bremen,04/03/2021 15:00:00,11.6,11.6,11.6,0.6,46.54,,22.7,,320.0,,0.0,,0.0,40.0,,1026.3,,53.0754,8.80454,"Bremen, Deutschland","Bremen, Deutschland",,Clear
Bremen,04/03/2021 16:00:00,11.3,11.3,11.3,-0.3,44.66,,24.5,,330.0,,0.0,,0.0,40.0,,1025.8,,53.0754,8.80454,"Bremen, Deutschland","Bremen, Deutschland",,Clear
Bremen,04/03/2021 17:00:00,10.6,10.6,10.6,1.7,54.09,,25.9,,310.0,,0.0,,0.0,40.0,,1025.8,,53.0754,8.80454,"Bremen, Deutschland","Bremen, Deutschland",,Clear
Bremen,04/03/2021 18:00:00,9.6,9.6,9.6,2.8,62.52,,21.6,,310.0,6.8,0.0,,0.0,20.0,0.0,1025.8,,53.0754,8.80454,"Bremen, Deutschland","Bremen, Deutschland",,Clear
Bremen,04/03/2021 19:00:00,8.6,8.6,8.6,2.6,65.97,,17.6,,340.0,5.9,0.0,,0.0,20.0,,1025.6,,53.0754,8.80454,"Bremen, Deutschland","Bremen, Deutschland",,Clear
Bremen,04/03/2021 20:00:00,6.7,6.7,6.7,1.6,69.96,,21.9,,330.0,3.0,0.0,,0.0,20.0,0.0,1025.9,,53.0754,8.80454,"Bremen, Deutschland","Bremen, Deutschland",,Clear
