Address,Date time,Minimum Temperature,Maximum Temperature,Temperature,Dew Point,Relative Humidity,Heat Index,Wind Speed,Wind Gust,Wind Direction,Wind Chill,Precipitation,Precipitation Cover,Snow Depth,Visibility,Cloud Cover,Sea Level Pressure,Weather Type,Latitude,Longitude,Resolved Address,Name,Info,Conditions
Berlin,10/05/2021 01:00:00,13.0,13.0,13.0,11.0,87.44,,3.6,,108.0,,0.0,,0.0,40.3,,1018.2,,52.516,13.3769,"Berlin, Deutschland","Berlin, Deutschland",,Clear
Berlin,10/05/2021 02:00:00,13.1,13.1,13.1,10.7,85.61,,3.8,,76.0,,0.0,,0.0,39.7,,1017.6,,52.516,13.3769,"Berlin, Deutschland","Berlin, Deutschland",,Clear
Berlin,10/05/2021 03:00:00,13.0,13.0,13.0,10.8,86.55,,6.6,,69.0,,0.0,,0.0,39.9,,1017.2,,52.516,13.3769,"Berlin, Deutschland","Berlin, Deutschland",,Clear
Berlin,10/05/2021 04:00:00,13.1,13.1,13.1,10.4,83.96,,9.2,,86.0,,0.0,,0.0,34.4,,1016.2,,52.516,13.3769,"Berlin, Deutschland","Berlin, Deutschland",,Clear
Berlin,10/05/2021 05:00:00,12.9,12.9,12.9,10.3,84.53,,10.3,,79.0,,0.01,,0.0,37.8,,1015.6,,52.516,13.3769,"Berlin, Deutschland","Berlin, Deutschland",,Rain
Berlin,10/05/2021 06:00:00,12.9,12.9,12.9,9.9,81.74,,12.9,,69.0,,0.01,,0.0,28.3,,1014.4,,52.516,13.3769,"Berlin, Deutschland","Berlin, Deutschland",,Rain
Berlin,10/05/2021 07:00:00,12.6,12.6,12.6,10.5,87.25,,11.9,,60.0,,0.01,,0.0,21.7,,1013.4,,52.516,13.3769,"Berlin, Deutschland","Berlin, Deutschland",,Rain
Berlin,10/05/2021 08:00:00,12.5,12.5,12.5,11.3,92.35,,11.5,,63.0,,0.35,,0.0,19.0,,1012.6,,52.516,13.3769,"Berlin, Deutschland","Berlin, Deutschland",,Rain
Berlin,10/05/2021 09:00:00,12.9,12.9,12.9,11.7,92.57,,11.4,,68.0,,0.03,,0.0,14.8,,1011.7,,52.516,13.3769,"Berlin, Deutschland","Berlin, Deutschland",,Rain
Berlin,10/05/2021 10:00:00,13.3,13.3,13.3,12.3,93.8,,12.7,,63.0,,0.05,,0.0,14.5,,1010.4,,52.516,13.3769,"Berlin, Deutschland","Berlin, Deutschland",,Rain
Berlin,10/05/2021 11:00:00,13.6,13.6,13.6,12.7,94.1,,9.7,,85.0,,0.49,,0.0,7.3,,1009.4,,52.516,13.3769,"Berlin, Deutschland","Berlin, Deutschland",,Rain
Berlin,10/05/2021 12:00:00,14.0,14.0,14.0,13.1,93.9,,3.4,,56.0,,0.98,,0.0,5.1,,1008.8,,52.516,13.3769,"Berlin, Deutschland","Berlin, Deutschland",,Rain
Berlin,10/05/2021 13:00:00,14.3,14.3,14.3,13.4,93.89,,7.2,,105.0,,0.66,,0.0,5.1,,1008.1,,52.516,13.3769,"Berlin, Deutschland","Berlin, Deutschland",,Rain
